ኋላ	U+128B U+120B
ኒሻ	U+1292 U+123B
ኒት	U+1292 U+1275
ናኢ	U+1293 U+12A2
ንኡ	U+1295 U+12A1
ንራ	U+1295 U+122B
ኖኢ	U+1296 U+12A2
ኖሊ	U+1296 U+120A
ኛታ	U+129B U+1273
ኡኸ	U+12A1 U+12B8
ኡኻ	U+12A1 U+12BB
ኡኽ	U+12A1 U+12BD
ኡን	U+12A1 U+1295
ኢኸ	U+12A2 U+12B8
ኢኹ	U+12A2 U+12B9
ኢኽ	U+12A2 U+12BD
ኢኾ	U+12A2 U+12BE
ኢና	U+12A2 U+1293
ኢኖ	U+12A2 U+1296
ኢዒ	U+12A2 U+12D2
ኢዔ	U+12A2 U+12D4
ኣኸ	U+12A3 U+12B8
ኣኹ	U+12A3 U+12B9
ኣኺ	U+12A3 U+12BA
ኣኻ	U+12A3 U+12BB
ኣኽ	U+12A3 U+12BD
ኣኾ	U+12A3 U+12BE
እግ	U+12A5 U+130D
እኽ	U+12A5 U+12BD
እን	U+12A5 U+1295
እሽ	U+12A5 U+123D
ኩኹ	U+12A9 U+12B9
ኪች	U+12AA U+127D
ኪጭ	U+12AA U+132D
ኪና	U+12AA U+1293
ኪን	U+12AA U+1295
ኪተ	U+12AA U+1270
ኪቱ	U+12AA U+1271
ኪቲ	U+12AA U+1272
ኪቴ	U+12AA U+1274
ኪት	U+12AA U+1275
ኪቶ	U+12AA U+1276
ኪጥ	U+12AA U+1325
ኪዊ	U+12AA U+12CA
ኹደ	U+12B9 U+12F0
ኹኢ	U+12B9 U+12A2
ኹኣ	U+12B9 U+12A3
ኺት	U+12BA U+1275
ኾኢ	U+12BE U+12A2
ዉኻ	U+12C9 U+12BB
ዉን	U+12C9 U+1295
ዋያ	U+12CB U+12EB
ውቃ	U+12CD U+1243
ውያ	U+12CD U+12EB
ዒሽ	U+12D2 U+123D
ዚኸ	U+12DA U+12B8
የፈ	U+12E8 U+1348
ያዶ	U+12EB U+12F6
ደት	U+12F0 U+1275
ድሒ	U+12F5 U+1212
ጉሥ	U+1309 U+1225
ጊዒ	U+130A U+12D2
ጊሩ	U+130A U+1229
ጊት	U+130A U+1275
ጋም	U+130B U+121D
ጋሥ	U+130B U+1225
ጢፋ	U+1322 U+134B
ጢን	U+1322 U+1295
ጢዒ	U+1322 U+12D2
ጢት	U+1322 U+1275
ጨቒ	U+1328 U+1252
ጪት	U+132A U+1275
ጽሓ	U+133D U+1213
ፈሞ	U+1348 U+121E
ፖጨ	U+1356 U+1328
ፖረ	U+1356 U+1228
ⶄቇ	U+2D84 U+1247
ꬂኹ	U+AB02 U+12B9
ꬂዒ	U+AB02 U+12D2
ꬂዔ	U+AB02 U+12D4
ꬄዔ	U+AB04 U+12D4
ꬒኸ	U+AB12 U+12B8
ረ𞟱	U+1228 U+1E7F1
ተ𞟫	U+1270 U+1E7EB
ተ𞟼	U+1270 U+1E7FC
ታ𞟡	U+1273 U+1E7E1
ትሔ	U+1275 U+1214
ፈ𞟶	U+1348 U+1E7F6
𞟥ን	U+1E7E5 U+1295
𞟹ታ	U+1E7F9 U+1273
𞟫ና	U+1E7EB U+1293
