ሁኢ	U+1201 U+12A2
ሁእ	U+1201 U+12A5
ሁከ	U+1201 U+12A8
ሁካ	U+1201 U+12AB
ሁኬ	U+1201 U+12AC
ሁክ	U+1201 U+12AD
ሁኮ	U+1201 U+12AE
ሁኯ	U+1201 U+12AF
ሁኸ	U+1201 U+12B8
ሁኹ	U+1201 U+12B9
ሁኺ	U+1201 U+12BA
ሁኻ	U+1201 U+12BB
ሁኼ	U+1201 U+12BC
ሁኽ	U+1201 U+12BD
ሁኾ	U+1201 U+12BE
ሁዀ	U+1201 U+12C0
ሁዂ	U+1201 U+12C2
ሁዃ	U+1201 U+12C3
ሁዄ	U+1201 U+12C4
ሁዅ	U+1201 U+12C5
ሁወ	U+1201 U+12C8
ሁዉ	U+1201 U+12C9
ሁዊ	U+1201 U+12CA
ሁዋ	U+1201 U+12CB
ሁዌ	U+1201 U+12CC
ሁው	U+1201 U+12CD
ሁዎ	U+1201 U+12CE
ሁዏ	U+1201 U+12CF
ሁዐ	U+1201 U+12D0
ሁዑ	U+1201 U+12D1
ሁዒ	U+1201 U+12D2
ሁዓ	U+1201 U+12D3
ሁዔ	U+1201 U+12D4
ሁዕ	U+1201 U+12D5
ሁዝ	U+1201 U+12DD
ሁዠ	U+1201 U+12E0
ሁዡ	U+1201 U+12E1
ሁዢ	U+1201 U+12E2
ሁዣ	U+1201 U+12E3
ሁዤ	U+1201 U+12E4
ሁዥ	U+1201 U+12E5
ሁዦ	U+1201 U+12E6
ሁዧ	U+1201 U+12E7
ሁዯ	U+1201 U+12EF
ሁዱ	U+1201 U+12F1
ሁዲ	U+1201 U+12F2
ሁዳ	U+1201 U+12F3
ሁዴ	U+1201 U+12F4
ሁዷ	U+1201 U+12F7
ሁዹ	U+1201 U+12F9
ሁዺ	U+1201 U+12FA
ሁዻ	U+1201 U+12FB
ሁዼ	U+1201 U+12FC
ሁዿ	U+1201 U+12FF
ሁጁ	U+1201 U+1301
ሁጂ	U+1201 U+1302
ሁጃ	U+1201 U+1303
ሁጄ	U+1201 U+1304
ሁጇ	U+1201 U+1307
ሁገ	U+1201 U+1308
ሁጉ	U+1201 U+1309
ሁጊ	U+1201 U+130A
ሁጌ	U+1201 U+130C
ሁግ	U+1201 U+130D
ሁጎ	U+1201 U+130E
ሁጐ	U+1201 U+1310
ሁጒ	U+1201 U+1312
ሁጓ	U+1201 U+1313
ሁጕ	U+1201 U+1315
ሁጘ	U+1201 U+1318
ሁጙ	U+1201 U+1319
ሁጚ	U+1201 U+131A
ሁጛ	U+1201 U+131B
ሁጜ	U+1201 U+131C
ሁጝ	U+1201 U+131D
ሁጟ	U+1201 U+131F
ሁጠ	U+1201 U+1320
ሁጡ	U+1201 U+1321
ሁጢ	U+1201 U+1322
ሁጣ	U+1201 U+1323
ሁጤ	U+1201 U+1324
ሁጥ	U+1201 U+1325
ሁጦ	U+1201 U+1326
ሁጧ	U+1201 U+1327
ሁጨ	U+1201 U+1328
